Wall time,Step,Value
1624955724.330541,2319310,27.117774963378906
1624955730.8783987,2321910,27.598079681396484
1624955742.0848126,2326410,29.06120491027832
1624955747.7572458,2328710,29.040912628173828
1624955760.4067001,2333810,29.010759353637695
1624955766.4838371,2336210,27.782894134521484
1624955771.1255722,2338110,28.230735778808594
1624955783.0077515,2342810,27.714393615722656
1624955810.8550062,2354110,28.078710556030273
1624955822.9203093,2359010,25.263290405273438
1624955843.0926514,2367110,25.432193756103516
1624955845.8664384,2368210,28.391700744628906
1624955850.7680416,2370210,29.251327514648438
1624955868.8355794,2377510,27.968854904174805
1624955882.9863122,2383210,27.43751335144043
1624955909.6481056,2393910,26.665441513061523
1624955944.3288229,2408010,28.676860809326172
1624955953.9142737,2411910,27.315719604492188
1624955961.387656,2414810,27.072723388671875
1624955982.9216785,2423510,29.682048797607422
1624955994.77979,2428310,27.581750869750977
1624955995.34369,2428510,27.54737663269043
1624956004.718995,2432310,29.932249069213867
1624956010.3741553,2434610,28.482667922973633
1624956027.9725235,2441710,28.290508270263672
1624956062.7551117,2455810,28.823001861572266
1624956078.7439015,2462210,28.899494171142578
1624956102.918736,2472010,28.065332412719727
1624956104.8661091,2472810,28.611753463745117
1624956142.287478,2488010,28.61808204650879
1624956147.7049594,2490210,28.65639305114746
1624956155.8199465,2493510,27.963565826416016
1624956174.0785413,2500910,28.25815200805664
1624956183.6864583,2504810,28.032974243164062
1624956205.2079146,2513410,27.474563598632812
1624956223.1376688,2520710,29.834718704223633
1624956229.3947978,2523210,28.747955322265625
1624956232.5969875,2524510,25.409770965576172
1624956234.808804,2525410,26.91037368774414
1624956254.240631,2533310,26.171049118041992
1624956268.9290066,2539210,27.538387298583984
1624956297.0400019,2550610,28.835247039794922
1624956300.719927,2552110,30.01500701904297
1624956320.2323635,2560010,29.989429473876953
1624956341.6747873,2568710,27.66930389404297
1624956363.6254385,2577610,26.733327865600586
1624956372.661828,2581310,28.136167526245117
1624956381.5180037,2584810,27.867544174194336
1624956399.7788298,2592210,27.167972564697266
1624956430.3353565,2604610,28.21468162536621
1624956435.457577,2606710,27.551509857177734
1624956437.6728406,2607610,29.980411529541016
1624956441.7304246,2609210,27.674644470214844
1624956457.2269127,2615510,27.510923385620117
1624956457.4678624,2615610,27.709213256835938
1624956461.075827,2617010,28.089801788330078
1624956491.6492465,2629310,28.78166961669922
1624956494.3416047,2630410,26.935623168945312
1624956518.8928502,2640410,27.244659423828125
1624956535.4496126,2647110,28.80490493774414
1624956584.8344336,2667110,28.093311309814453
1624956616.0457025,2679810,28.542924880981445
1624956616.3007348,2679910,29.043100357055664
1624956623.7402108,2682810,29.0177001953125
1624956624.3011072,2683010,28.0377197265625
1624956648.5261724,2692910,28.901710510253906
1624956685.7087631,2707910,29.59101676940918
1624956701.6262743,2714310,26.881366729736328
1624956703.085125,2714910,27.81104850769043
1624956704.5462976,2715510,27.2237606048584
1624956705.5440936,2715910,29.225515365600586
1624956705.7920945,2716010,28.25682258605957
1624956734.07756,2727510,28.705808639526367
1624956747.6750405,2733010,26.62553596496582
1624956777.2177227,2745010,28.807659149169922
1624956791.1007173,2750610,27.447425842285156
1624956815.118577,2760410,26.23737144470215
1624956817.5520272,2761410,27.738191604614258
1624956819.267136,2762110,27.736373901367188
1624956823.7605054,2763910,27.84070587158203
1624956837.730935,2769610,26.105777740478516
1624956848.638384,2774010,27.976093292236328
1624956869.850373,2782610,26.76125144958496
1624956892.3462682,2791710,27.487428665161133
1624956892.8403986,2791910,27.232357025146484
1624956900.6860325,2795110,28.57671546936035
1624956905.0608537,2796910,29.37733268737793
